# Data file generated by gp_save.m
# 
0	0	0	0	0
0.01	0.02513	0.025132	0.025132	0.025133
0.02	0.050244	0.05026	0.050263	0.050264
0.03	0.075327	0.07538	0.07539	0.075394
0.04	0.10036	0.10049	0.10051	0.10052
0.05	0.12533	0.12558	0.12563	0.12564
0.06	0.15023	0.15065	0.15073	0.15076
0.07	0.17502	0.1757	0.17583	0.17587
0.08	0.19971	0.20072	0.20091	0.20098
0.09	0.22427	0.22571	0.22598	0.22607
0.1	0.24869	0.25067	0.25103	0.25116
0.11	0.27295	0.27558	0.27607	0.27624
0.12	0.29704	0.30045	0.30109	0.30131
0.13	0.32094	0.32527	0.32608	0.32636
0.14	0.34464	0.35005	0.35105	0.3514
0.15	0.36812	0.37476	0.376	0.37643
0.16	0.39137	0.39942	0.40092	0.40145
0.17	0.41438	0.42401	0.42581	0.42644
0.18	0.43712	0.44854	0.45068	0.45143
0.19	0.45958	0.473	0.47551	0.47639
0.2	0.48175	0.49738	0.50031	0.50133
0.21	0.50362	0.52168	0.52507	0.52626
0.22	0.52517	0.5459	0.5498	0.55116
0.23	0.54639	0.57004	0.57448	0.57604
0.24	0.56727	0.59408	0.59913	0.6009
0.25	0.58779	0.61803	0.62374	0.62574
0.26	0.60793	0.64189	0.6483	0.65055
0.27	0.62769	0.66564	0.67281	0.67533
0.28	0.64706	0.68929	0.69728	0.70009
0.29	0.66601	0.71282	0.7217	0.72482
0.3	0.68455	0.73625	0.74607	0.74953
0.31	0.70265	0.75956	0.77039	0.7742
0.32	0.72031	0.78275	0.79465	0.79884
0.33	0.73751	0.80581	0.81886	0.82345
0.34	0.75425	0.82875	0.84301	0.84803
0.35	0.77051	0.85156	0.8671	0.87257
0.36	0.78629	0.87423	0.89112	0.89708
0.37	0.80157	0.89677	0.91509	0.92156
0.38	0.81634	0.91916	0.93899	0.946
0.39	0.8306	0.94141	0.96283	0.9704
0.4	0.84433	0.96351	0.9866	0.99476
0.41	0.85753	0.98545	1.0103	1.0191
0.42	0.87018	1.0072	1.0339	1.0434
0.43	0.88229	1.0289	1.0575	1.0676
0.44	0.89384	1.0503	1.081	1.0918
0.45	0.90483	1.0717	1.1044	1.116
0.46	0.91524	1.0928	1.1277	1.1401
0.47	0.92508	1.1138	1.151	1.1641
0.48	0.93433	1.1345	1.1741	1.1882
0.49	0.94299	1.1551	1.1972	1.2121
0.5	0.95106	1.1756	1.2202	1.2361
0.51	0.95852	1.1958	1.2431	1.2599
0.52	0.96538	1.2159	1.266	1.2838
0.53	0.97163	1.2357	1.2887	1.3076
0.54	0.97727	1.2554	1.3113	1.3313
0.55	0.98229	1.2748	1.3339	1.355
0.56	0.98669	1.2941	1.3564	1.3786
0.57	0.99046	1.3132	1.3787	1.4021
0.58	0.99361	1.332	1.401	1.4256
0.59	0.99613	1.3507	1.4232	1.4491
0.6	0.99803	1.3691	1.4453	1.4725
0.61	0.99929	1.3873	1.4672	1.4958
0.62	0.99992	1.4053	1.4891	1.5191
0.63	0.99992	1.4231	1.5109	1.5423
0.64	0.99929	1.4406	1.5325	1.5655
0.65	0.99803	1.4579	1.5541	1.5886
0.66	0.99613	1.475	1.5755	1.6116
0.67	0.99361	1.4919	1.5969	1.6346
0.68	0.99046	1.5085	1.6181	1.6575
0.69	0.98669	1.5249	1.6392	1.6803
0.7	0.98229	1.541	1.6602	1.7031
0.71	0.97727	1.5569	1.681	1.7258
0.72	0.97163	1.5726	1.7018	1.7485
0.73	0.96538	1.588	1.7224	1.771
0.74	0.95852	1.6031	1.743	1.7935
0.75	0.95106	1.618	1.7634	1.816
0.76	0.94299	1.6327	1.7836	1.8383
0.77	0.93433	1.6471	1.8038	1.8606
0.78	0.92508	1.6612	1.8238	1.8828
0.79	0.91524	1.6751	1.8437	1.905
0.8	0.90483	1.6887	1.8634	1.927
0.81	0.89384	1.702	1.8831	1.949
0.82	0.88229	1.7151	1.9026	1.9709
0.83	0.87018	1.7278	1.9219	1.9927
0.84	0.85753	1.7404	1.9412	2.0145
0.85	0.84433	1.7526	1.9603	2.0362
0.86	0.8306	1.7646	1.9792	2.0578
0.87	0.81634	1.7763	1.998	2.0793
0.88	0.80157	1.7877	2.0167	2.1007
0.89	0.78629	1.7988	2.0352	2.122
0.9	0.77051	1.8097	2.0536	2.1433
0.91	0.75425	1.8202	2.0719	2.1645
0.92	0.73751	1.8305	2.09	2.1856
0.93	0.72031	1.8405	2.1079	2.2066
0.94	0.70265	1.8502	2.1258	2.2275
0.95	0.68455	1.8596	2.1434	2.2483
0.96	0.66601	1.8687	2.1609	2.2691
0.97	0.64706	1.8775	2.1783	2.2897
0.98	0.62769	1.886	2.1955	2.3103
0.99	0.60793	1.8942	2.2125	2.3308
1	0.58779	1.9021	2.2294	2.3511
1.01	0.56727	1.9097	2.2462	2.3714
1.02	0.54639	1.917	2.2628	2.3916
1.03	0.52517	1.9241	2.2792	2.4117
1.04	0.50362	1.9308	2.2954	2.4317
1.05	0.48175	1.9372	2.3115	2.4516
1.06	0.45958	1.9433	2.3275	2.4714
1.07	0.43712	1.9491	2.3433	2.4912
1.08	0.41438	1.9545	2.3589	2.5108
1.09	0.39137	1.9597	2.3743	2.5303
1.1	0.36812	1.9646	2.3896	2.5497
1.11	0.34464	1.9691	2.4047	2.569
1.12	0.32094	1.9734	2.4196	2.5882
1.13	0.29704	1.9773	2.4344	2.6073
1.14	0.27295	1.9809	2.449	2.6263
1.15	0.24869	1.9842	2.4634	2.6452
1.16	0.22427	1.9872	2.4777	2.664
1.17	0.19971	1.9899	2.4918	2.6827
1.18	0.17502	1.9923	2.5057	2.7013
1.19	0.15023	1.9943	2.5194	2.7198
1.2	0.12533	1.9961	2.533	2.7382
1.21	0.10036	1.9975	2.5464	2.7565
1.22	0.075327	1.9986	2.5596	2.7746
1.23	0.050244	1.9994	2.5726	2.7927
1.24	0.02513	1.9998	2.5854	2.8106
1.25	1.2246e-16	2	2.5981	2.8284
1.26	-0.02513	1.9998	2.6106	2.8461
1.27	-0.050244	1.9994	2.6228	2.8637
1.28	-0.075327	1.9986	2.635	2.8812
1.29	-0.10036	1.9975	2.6469	2.8986
1.3	-0.12533	1.9961	2.6586	2.9159
1.31	-0.15023	1.9943	2.6702	2.933
1.32	-0.17502	1.9923	2.6815	2.9501
1.33	-0.19971	1.9899	2.6927	2.967
1.34	-0.22427	1.9872	2.7037	2.9838
1.35	-0.24869	1.9842	2.7145	3.0004
1.36	-0.27295	1.9809	2.7251	3.017
1.37	-0.29704	1.9773	2.7355	3.0334
1.38	-0.32094	1.9734	2.7457	3.0498
1.39	-0.34464	1.9691	2.7558	3.066
1.4	-0.36812	1.9646	2.7656	3.0821
1.41	-0.39137	1.9597	2.7752	3.098
1.42	-0.41438	1.9545	2.7847	3.1138
1.43	-0.43712	1.9491	2.7939	3.1296
1.44	-0.45958	1.9433	2.803	3.1452
1.45	-0.48175	1.9372	2.8118	3.1606
1.46	-0.50362	1.9308	2.8205	3.176
1.47	-0.52517	1.9241	2.829	3.1912
1.48	-0.54639	1.917	2.8372	3.2063
1.49	-0.56727	1.9097	2.8453	3.2212
1.5	-0.58779	1.9021	2.8532	3.2361
1.51	-0.60793	1.8942	2.8608	3.2508
1.52	-0.62769	1.886	2.8683	3.2654
1.53	-0.64706	1.8775	2.8756	3.2798
1.54	-0.66601	1.8687	2.8826	3.2941
1.55	-0.68455	1.8596	2.8895	3.3083
1.56	-0.70265	1.8502	2.8961	3.3224
1.57	-0.72031	1.8405	2.9026	3.3363
1.58	-0.73751	1.8305	2.9088	3.3501
1.59	-0.75425	1.8202	2.9149	3.3638
1.6	-0.77051	1.8097	2.9207	3.3773
1.61	-0.78629	1.7988	2.9264	3.3907
1.62	-0.80157	1.7877	2.9318	3.404
1.63	-0.81634	1.7763	2.937	3.4171
1.64	-0.8306	1.7646	2.942	3.4301
1.65	-0.84433	1.7526	2.9469	3.443
1.66	-0.85753	1.7404	2.9515	3.4557
1.67	-0.87018	1.7278	2.9559	3.4683
1.68	-0.88229	1.7151	2.9601	3.4807
1.69	-0.89384	1.702	2.964	3.493
1.7	-0.90483	1.6887	2.9678	3.5052
1.71	-0.91524	1.6751	2.9714	3.5173
1.72	-0.92508	1.6612	2.9747	3.5292
1.73	-0.93433	1.6471	2.9779	3.5409
1.74	-0.94299	1.6327	2.9808	3.5525
1.75	-0.95106	1.618	2.9836	3.564
1.76	-0.95852	1.6031	2.9861	3.5754
1.77	-0.96538	1.588	2.9884	3.5866
1.78	-0.97163	1.5726	2.9905	3.5976
1.79	-0.97727	1.5569	2.9924	3.6085
1.8	-0.98229	1.541	2.9941	3.6193
1.81	-0.98669	1.5249	2.9956	3.6299
1.82	-0.99046	1.5085	2.9968	3.6404
1.83	-0.99361	1.4919	2.9979	3.6508
1.84	-0.99613	1.475	2.9987	3.661
1.85	-0.99803	1.4579	2.9993	3.671
1.86	-0.99929	1.4406	2.9998	3.6809
1.87	-0.99992	1.4231	3	3.6907
1.88	-0.99992	1.4053	3	3.7003
1.89	-0.99929	1.3873	2.9998	3.7098
1.9	-0.99803	1.3691	2.9993	3.7191
1.91	-0.99613	1.3507	2.9987	3.7283
1.92	-0.99361	1.332	2.9979	3.7373
1.93	-0.99046	1.3132	2.9968	3.7462
1.94	-0.98669	1.2941	2.9956	3.7549
1.95	-0.98229	1.2748	2.9941	3.7635
1.96	-0.97727	1.2554	2.9924	3.772
1.97	-0.97163	1.2357	2.9905	3.7803
1.98	-0.96538	1.2159	2.9884	3.7884
1.99	-0.95852	1.1958	2.9861	3.7964
2	-0.95106	1.1756	2.9836	3.8042
2.01	-0.94299	1.1551	2.9808	3.8119
2.02	-0.93433	1.1345	2.9779	3.8195
2.03	-0.92508	1.1138	2.9747	3.8268
2.04	-0.91524	1.0928	2.9714	3.8341
2.05	-0.90483	1.0717	2.9678	3.8412
2.06	-0.89384	1.0503	2.964	3.8481
2.07	-0.88229	1.0289	2.9601	3.8549
2.08	-0.87018	1.0072	2.9559	3.8615
2.09	-0.85753	0.98545	2.9515	3.868
2.1	-0.84433	0.96351	2.9469	3.8743
2.11	-0.8306	0.94141	2.942	3.8805
2.12	-0.81634	0.91916	2.937	3.8865
2.13	-0.80157	0.89677	2.9318	3.8924
